"","therapeutic_area","brand","che_pc_usd","che_perc_gdp","cluster_nl","corporation","country","launch_date","date","drug_id","ind_launch_date","indication","insurance_perc_che","population","prev_perc","price_month","price_unit","public_perc_che","target","Country_Group","Price_Group","therapeutical_cluster","indication_number","avg_price_per_year","month_number"
"1","THER_AREA_CD59","BRAND_7114",1.25374531835206,1.1704521742667,"BRAND_7114_COUNTRY_B6AE","CORP_6095","COUNTRY_B6AE",2015-10-01,2015-12-01,"DRUG_ID_5417","2014-12-01 00:00:00","['IND_851C']",-0.0266666666666662,1.03630397828066,0.0283477305742481,1.12610266244481,1.26979364692071,1.80597014925373,1.0335157170947,4,2,2,1,1.19866082162244,12
"2","THER_AREA_CD59","BRAND_7114",1.06507490636704,1.1600732750464,"BRAND_7114_COUNTRY_221C","CORP_6095","COUNTRY_221C",2016-04-01,2016-11-01,"DRUG_ID_5417","-1","['IND_0AE9', 'IND_851C']",1.73333333333333,1.6225099025311,0.0338962906669545,1.75903313561968,1.07381748183513,1.91044776119403,1.28435209034185,2,2,2,2,1.19866082162244,11
"3","THER_AREA_CD59","BRAND_152E",1.06617223066479,1.46419426367252,"BRAND_152E_COUNTRY_EF33","CORP_01C7","COUNTRY_EF33",2017-06-01,2022-05-01,"DRUG_ID_A56F","2009-07-01 00:00:00","['IND_851C']",1.97333333333333,1.38963750196543,0.0395800839583948,-1,1.08093740404788,1.83582089552239,1.1502838124484,2,2,2,1,1.05056216124771,5
"4","THER_AREA_CD59","BRAND_50D8",1.24016853932584,1.57744160655469,"BRAND_50D8_COUNTRY_6B71","CORP_B3B2","COUNTRY_6B71",2018-01-01,2020-09-01,"DRUG_ID_D235","-1","['IND_7671']",1.44,1.05069270053938,0.0198767973416524,-1,1.00105610607857,1.47761194029851,1.00483539258091,2,2,2,1,1.0023462569072,9
"5","THER_AREA_CD59","BRAND_7114",1.31679151061174,1.86308835401228,"BRAND_7114_COUNTRY_EA71","CORP_6095","COUNTRY_EA71",2014-11-01,2015-08-01,"DRUG_ID_5417","-1","['IND_0AE9']",1.01333333333333,1.04932134236306,0.0069586382100195,-1,1.28139337645655,1.67164179104478,1.01244222214129,2,2,2,1,1.19866082162244,8
"6","THER_AREA_CD59","BRAND_C21A",1.91042446941323,1.86944492435777,"BRAND_C21A_COUNTRY_4442","CORP_D524","COUNTRY_4442",2014-09-01,2019-06-01,"DRUG_ID_E2D9","2017-10-01 00:00:00","['IND_6F13', 'IND_120F']",1,1.16994690229823,0.0392231028407311,-1,1.00403099120019,1.82089552238806,1.01711491954609,2,2,2,2,1.00401746309055,6
"7","THER_AREA_CD59","BRAND_152E",1.86220349563046,1.80478476124048,"BRAND_152E_COUNTRY_4442","CORP_01C7","COUNTRY_4442",2015-08-01,2020-07-01,"DRUG_ID_A56F","-1","['IND_851C', 'IND_632E', 'IND_0AE9', 'IND_176A']",1,1.17307569705568,0.0754181660900516,1.02381854940612,1.15288700255178,1.85074626865672,1.44073776097512,2,2,2,3.5,1.05056216124771,7
"8","THER_AREA_CD59","BRAND_4939",1.87219101123596,2.10240517464982,"BRAND_4939_COUNTRY_445D","CORP_B3B2","COUNTRY_445D",2017-01-01,2021-11-01,"DRUG_ID_D235","2014-10-01 00:00:00","['IND_7671']",1,1.27755246764211,0.0203970010443301,-1,1.00462665420768,1.86567164179104,1.09714357841629,3,2,2,1,1.0023462569072,11
"9","THER_AREA_CD59","BRAND_ED43",1.00451779026217,1.04347052501338,"BRAND_ED43_COUNTRY_7D31","CORP_01C7","COUNTRY_7D31",2022-10-01,2022-10-01,"DRUG_ID_A347","2018-12-01 00:00:00","['IND_120F', 'IND_8E8D']",1.08333333333333,1.89016318981826,0.0411519400985823,-1,1.00079326007505,1.29850746268657,1.00179502238115,2,2,2,2,1.00078744878663,10
"10","THER_AREA_CD59","BRAND_7114",1.63654806491885,1.70025181762284,"BRAND_7114_COUNTRY_6F78","CORP_6095","COUNTRY_6F78",2014-09-01,2017-01-01,"DRUG_ID_5417","-1","['IND_0AE9', 'IND_8F07', 'IND_176A', 'IND_632E']",1.17333333333333,1.00864756517902,0.0139241385021622,1.89351112696785,1.21706883255554,1.91044776119403,1.27194383752304,4,2,2,3.5,1.19866082162244,1
